Erde_x, Erde_y, Erde_v_x, Erde_v_y, Sonne_x, Sonne_y, Sonne_v_x, Sonne_v_y, Zeit
147100000000.000,0.000,0.000,30290.000,0.000,0.000,0.000,0.000,0.000
147100000000.000,30290000.000,-6.133,30290.000,0.000,0.000,0.000,0.000,1000.000
147099993866.842,60580000.000,-12.266,30289.999,0.018,0.000,0.000,0.000,2000.000
147099981600.527,90869998.737,-18.399,30289.996,0.055,0.000,0.000,0.000,3000.000
147099963201.056,121159994.948,-24.533,30289.992,0.111,0.000,0.000,0.000,4000.000
147099938668.428,151449987.371,-30.666,30289.987,0.184,0.000,0.000,0.000,5000.000
147099908002.646,181739974.742,-36.799,30289.981,0.276,0.000,0.000,0.000,6000.000
147099871203.711,212029955.798,-42.932,30289.973,0.387,0.000,0.000,0.000,7000.000
147099828271.625,242319929.277,-49.065,30289.965,0.516,0.000,0.000,0.000,8000.000
147099779206.389,272609893.916,-55.198,30289.955,0.663,0.000,0.000,0.000,9000.000
147099724008.006,302899848.451,-61.332,30289.943,0.829,0.000,0.000,0.000,10000.000
147099662676.479,333189791.621,-67.465,30289.931,1.013,0.001,0.000,0.000,11000.000
147099595211.810,363479722.161,-73.598,30289.917,1.216,0.001,0.000,0.000,12000.000
147099521614.002,393769638.809,-79.731,30289.901,1.437,0.001,0.000,0.000,13000.000
147099441883.059,424059540.303,-85.864,30289.885,1.676,0.001,0.000,0.000,14000.000
147099356018.984,454349425.379,-91.997,30289.867,1.934,0.002,0.000,0.000,15000.000
147099264021.782,484639292.774,-98.130,30289.848,2.211,0.002,0.000,0.000,16000.000
147099165891.456,514929141.225,-104.263,30289.828,2.505,0.003,0.000,0.000,17000.000
147099061628.010,545218969.470,-110.397,30289.807,2.819,0.003,0.000,0.000,18000.000
147098951231.451,575508776.246,-116.530,30289.784,3.150,0.004,0.000,0.000,19000.000
147098834701.781,605798560.290,-122.663,30289.760,3.500,0.004,0.000,0.000,20000.000
147098712039.007,636088320.338,-128.796,30289.735,3.869,0.005,0.000,0.000,21000.000
147098583243.135,666378055.129,-134.929,30289.708,4.255,0.006,0.000,0.000,22000.000
147098448314.169,696667763.399,-141.062,30289.680,4.661,0.007,0.000,0.000,23000.000
147098307252.116,726957443.884,-147.195,30289.651,5.084,0.008,0.000,0.000,24000.000
147098160056.982,757247095.324,-153.328,30289.621,5.526,0.009,0.000,0.000,25000.000
147098006728.775,787536716.453,-159.461,30289.590,5.987,0.010,0.000,0.000,26000.000
147097847267.500,817826306.010,-165.594,30289.557,6.466,0.011,0.000,0.000,27000.000
147097681673.164,848115862.732,-171.727,30289.523,6.963,0.012,0.001,0.000,28000.000
147097509945.776,878405385.356,-177.860,30289.487,7.479,0.014,0.001,0.000,29000.000
