Erde_x, Erde_y, Erde_v_x, Erde_v_y, Mond_x, Mond_y, Mond_v_x, Mond_v_y, Zeit
0.000,0.000,0.000,0.000,384400000.000,0.000,0.000,1022.000,0.000
0.000,0.000,0.033,0.000,384400000.000,1022000.000,-2.698,1022.000,1000.000
33.181,0.000,0.066,0.000,384397302.336,2044000.000,-5.395,1021.993,2000.000
99.543,0.088,0.100,0.000,384391907.037,3065992.828,-8.093,1021.978,3000.000
199.085,0.353,0.133,0.001,384383814.149,4087971.311,-10.790,1021.957,4000.000
331.806,0.882,0.166,0.001,384373023.741,5109928.279,-13.488,1021.928,5000.000
497.705,1.764,0.199,0.001,384359535.896,6131856.559,-16.185,1021.892,6000.000
696.781,3.088,0.232,0.002,384343350.718,7153748.980,-18.882,1021.849,7000.000
929.033,4.940,0.265,0.002,384324468.332,8175598.372,-21.579,1021.799,8000.000
1194.458,7.410,0.299,0.003,384302888.878,9197397.563,-24.276,1021.742,9000.000
1493.055,10.586,0.332,0.004,384278612.517,10219139.383,-26.973,1021.677,10000.000
1824.822,14.555,0.365,0.005,384251639.430,11240816.664,-29.670,1021.606,11000.000
2189.756,19.406,0.398,0.006,384221969.814,12262422.235,-32.366,1021.527,12000.000
2587.854,25.228,0.431,0.007,384189603.886,13283948.929,-35.062,1021.441,13000.000
3019.113,32.108,0.464,0.008,384154541.884,14305389.577,-37.758,1021.347,14000.000
3483.531,40.134,0.498,0.009,384116784.062,15326737.013,-40.453,1021.247,15000.000
3981.104,49.396,0.531,0.011,384076330.694,16347984.070,-43.149,1021.140,16000.000
4511.829,59.980,0.564,0.012,384033182.072,17369123.582,-45.844,1021.025,17000.000
5075.700,71.974,0.597,0.013,383987338.509,18390148.384,-48.538,1020.903,18000.000
5672.716,85.468,0.630,0.015,383938800.336,19411051.314,-51.232,1020.774,19000.000
6302.870,100.549,0.663,0.017,383887567.900,20431825.207,-53.926,1020.638,20000.000
6966.159,117.305,0.696,0.019,383833641.572,21452462.901,-56.620,1020.494,21000.000
7662.578,135.825,0.730,0.020,383777021.737,22472957.236,-59.313,1020.344,22000.000
8392.122,156.196,0.763,0.022,383717708.802,23493301.052,-62.006,1020.186,23000.000
9154.786,178.506,0.796,0.024,383655703.191,24513487.190,-64.698,1020.021,24000.000
9950.564,202.844,0.829,0.026,383591005.349,25533508.492,-67.390,1019.849,25000.000
10779.450,229.297,0.862,0.029,383523615.737,26553357.802,-70.081,1019.670,26000.000
11641.439,257.954,0.895,0.031,383453534.838,27573027.965,-72.772,1019.484,27000.000
12536.525,288.902,0.928,0.033,383380763.150,28592511.827,-75.462,1019.290,28000.000
13464.700,322.230,0.961,0.036,383305301.194,29611802.235,-78.152,1019.090,29000.000
14425.959,358.025,0.994,0.038,383227149.507,30630892.039,-80.841,1018.882,30000.000
15420.294,396.376,1.027,0.041,383146308.646,31649774.089,-83.529,1018.667,31000.000
16447.700,437.370,1.060,0.044,383062779.187,32668441.236,-86.217,1018.445,32000.000
17508.167,481.095,1.094,0.047,382976561.723,33686886.336,-88.905,1018.216,33000.000
18601.689,527.639,1.127,0.049,382887656.867,34705102.241,-91.592,1017.980,34000.000
19728.258,577.090,1.160,0.052,382796065.253,35723081.810,-94.278,1017.736,35000.000
20887.866,629.535,1.193,0.056,382701787.530,36740817.901,-96.963,1017.485,36000.000
22080.504,685.064,1.226,0.059,382604824.368,37758303.374,-99.648,1017.228,37000.000
23306.165,743.762,1.259,0.062,382505176.455,38775531.091,-102.332,1016.963,38000.000
24564.839,805.719,1.292,0.065,382402844.499,39792493.917,-105.015,1016.691,39000.000
25856.517,871.022,1.325,0.069,382297829.226,40809184.716,-107.698,1016.412,40000.000
27181.192,939.758,1.358,0.072,382190131.381,41825596.357,-110.380,1016.125,41000.000
28538.852,1012.016,1.391,0.076,382079751.726,42841721.709,-113.061,1015.832,42000.000
29929.488,1087.882,1.424,0.080,381966691.045,43857553.644,-115.741,1015.531,43000.000
31353.091,1167.446,1.457,0.083,381850950.138,44873085.037,-118.420,1015.224,44000.000
32809.651,1250.793,1.490,0.087,381732529.825,45888308.762,-121.099,1014.909,45000.000
34299.157,1338.013,1.522,0.091,381611430.945,46903217.699,-123.777,1014.587,46000.000
35821.598,1429.192,1.555,0.095,381487654.356,47917804.729,-126.453,1014.258,47000.000
37376.964,1524.418,1.588,0.099,381361200.933,48932062.732,-129.129,1013.922,48000.000
38965.244,1623.778,1.621,0.104,381232071.571,49945984.596,-131.804,1013.579,49000.000
40586.426,1727.360,1.654,0.108,381100267.185,50959563.207,-134.478,1013.228,50000.000
42240.500,1835.252,1.687,0.112,380965788.706,51972791.455,-137.152,1012.871,51000.000
43927.453,1947.541,1.720,0.117,380828637.085,52985662.233,-139.824,1012.506,52000.000
45647.273,2064.314,1.753,0.121,380688813.293,53998168.436,-142.495,1012.135,53000.000
47399.949,2185.658,1.786,0.126,380546318.318,55010302.961,-145.165,1011.756,54000.000
49185.468,2311.662,1.818,0.131,380401153.167,56022058.709,-147.834,1011.370,55000.000
51003.817,2442.411,1.851,0.136,380253318.867,57033428.581,-150.502,1010.977,56000.000
52854.983,2577.994,1.884,0.141,380102816.461,58044405.485,-153.169,1010.577,57000.000
54738.954,2718.498,1.917,0.146,379949647.014,59054982.328,-155.835,1010.170,58000.000
56655.716,2864.010,1.950,0.151,379793811.607,60065152.021,-158.500,1009.755,59000.000
58605.256,3014.617,1.982,0.156,379635311.342,61074907.479,-161.164,1009.334,60000.000
60587.559,3170.406,2.015,0.161,379474147.336,62084241.619,-163.827,1008.906,61000.000
62602.612,3331.464,2.048,0.166,379310320.730,63093147.360,-166.488,1008.470,62000.000
64650.400,3497.878,2.081,0.172,379143832.679,64101617.625,-169.148,1008.028,63000.000
66730.910,3669.736,2.113,0.177,378974684.359,65109645.341,-171.807,1007.578,64000.000
68844.126,3847.124,2.146,0.183,378802876.964,66117223.436,-174.465,1007.121,65000.000
70990.033,4030.130,2.179,0.189,378628411.706,67124344.844,-177.122,1006.658,66000.000
73168.617,4218.839,2.211,0.195,378451289.818,68131002.499,-179.777,1006.187,67000.000
75379.862,4413.340,2.244,0.200,378271512.548,69137189.340,-182.431,1005.709,68000.000
77623.752,4613.718,2.277,0.206,378089081.165,70142898.310,-185.084,1005.224,69000.000
79900.272,4820.061,2.309,0.212,377903996.957,71148122.354,-187.736,1004.732,70000.000
82209.405,5032.455,2.342,0.219,377716261.230,72152854.420,-190.386,1004.233,71000.000
84551.135,5250.987,2.374,0.225,377525875.307,73157087.461,-193.035,1003.727,72000.000
86925.446,5475.744,2.407,0.231,377332840.532,74160814.434,-195.682,1003.214,73000.000
89332.321,5706.812,2.439,0.237,377137158.266,75164028.296,-198.328,1002.694,74000.000
91771.743,5944.277,2.472,0.244,376938829.889,76166722.012,-200.973,1002.167,75000.000
94243.694,6188.227,2.504,0.251,376737856.799,77168888.547,-203.616,1001.632,76000.000
96748.158,6438.748,2.537,0.257,376534240.415,78170520.873,-206.258,1001.091,77000.000
99285.116,6695.925,2.569,0.264,376327982.172,79171611.963,-208.899,1000.543,78000.000
101854.552,6959.847,2.602,0.271,376119083.523,80172154.795,-211.538,999.988,79000.000
104456.445,7230.598,2.634,0.278,375907545.942,81172142.351,-214.175,999.425,80000.000
107090.780,7508.265,2.667,0.285,375693370.920,82171567.616,-216.811,998.856,81000.000
109757.535,7792.935,2.699,0.292,375476559.967,83170423.580,-219.445,998.280,82000.000
112456.694,8084.693,2.732,0.299,375257114.610,84168703.237,-222.078,997.696,83000.000
115188.237,8383.626,2.764,0.306,375035036.398,85166399.583,-224.710,997.106,84000.000
117952.144,8689.819,2.796,0.314,374810326.894,86163505.621,-227.339,996.509,85000.000
120748.397,9003.360,2.829,0.321,374582987.683,87160014.355,-229.967,995.904,86000.000
123576.975,9324.333,2.861,0.328,374353020.366,88155918.798,-232.594,995.293,87000.000
126437.858,9652.825,2.893,0.336,374120426.565,89151211.961,-235.219,994.675,88000.000
129331.027,9988.921,2.925,0.344,373885207.918,90145886.864,-237.842,994.050,89000.000
132256.461,10332.708,2.958,0.352,373647366.082,91139936.529,-240.463,993.417,90000.000
135214.139,10684.270,2.990,0.359,373406902.734,92133353.984,-243.083,992.778,91000.000
138204.041,11043.695,3.022,0.367,373163819.568,93126132.260,-245.701,992.132,92000.000
141226.145,11411.067,3.054,0.375,372918118.296,94118264.393,-248.318,991.479,93000.000
144280.431,11786.472,3.086,0.384,372669800.649,95109743.423,-250.932,990.819,94000.000
147366.876,12169.996,3.119,0.392,372418868.377,96100562.396,-253.545,990.152,95000.000
150485.459,12561.724,3.151,0.400,372165323.247,97090714.362,-256.156,989.478,96000.000
153636.158,12961.742,3.183,0.408,371909167.045,98080192.373,-258.765,988.797,97000.000
156818.951,13370.135,3.215,0.417,371650401.576,99068989.490,-261.373,988.109,98000.000
160033.815,13786.987,3.247,0.425,371389028.663,100057098.777,-263.979,987.415,99000.000
163280.727,14212.386,3.279,0.434,371125050.146,101044513.301,-266.582,986.713,100000.000
166559.666,14646.415,3.311,0.443,370858467.884,102031226.137,-269.184,986.004,101000.000
169870.607,15089.160,3.343,0.452,370589283.756,103017230.362,-271.784,985.289,102000.000
