Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,100.000,100.000,0.000
100.000,100.000,100.000,90.190,1.000
200.000,190.190,100.000,80.380,2.000
300.000,270.570,100.000,70.570,3.000
400.000,341.140,100.000,60.760,4.000
500.000,401.900,100.000,50.950,5.000
600.000,452.850,100.000,41.140,6.000
700.000,493.990,100.000,31.330,7.000
800.000,525.320,100.000,21.520,8.000
900.000,546.840,100.000,11.710,9.000
1000.000,558.550,100.000,1.900,10.000
1100.000,560.450,100.000,-7.910,11.000
1200.000,552.540,100.000,-17.720,12.000
1300.000,534.820,100.000,-27.530,13.000
1400.000,507.290,100.000,-37.340,14.000
1500.000,469.950,100.000,-47.150,15.000
1600.000,422.800,100.000,-56.960,16.000
1700.000,365.840,100.000,-66.770,17.000
1800.000,299.070,100.000,-76.580,18.000
1900.000,222.490,100.000,-86.390,19.000
2000.000,136.100,100.000,-96.200,20.000
2100.000,39.900,100.000,-106.010,21.000
