Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,1000.000,1000.000,0.000
4995.708,4873.083,998.283,949.233,5.000
9982.840,9492.551,996.569,898.554,10.000
14961.411,13858.838,994.859,847.961,15.000
19931.434,17972.379,993.151,797.455,20.000
24892.925,21833.609,991.446,747.036,25.000
29845.899,25442.960,989.744,696.704,30.000
34790.370,28800.864,988.045,646.458,35.000
39726.353,31907.754,986.348,596.298,40.000
44653.862,34764.061,984.655,546.224,45.000
49572.912,37370.213,982.965,496.237,50.000
54483.517,39726.642,981.277,446.335,55.000
59385.692,41833.776,979.593,396.519,60.000
64279.451,43692.042,977.911,346.788,65.000
69164.809,45301.868,976.232,297.143,70.000
74041.780,46663.680,974.556,247.582,75.000
78910.379,47777.905,972.883,198.107,80.000
83770.620,48644.966,971.213,148.717,85.000
88622.517,49265.289,969.546,99.412,90.000
93466.085,49639.298,967.881,50.191,95.000
98301.337,49767.414,966.220,1.055,100.000
103128.289,49650.060,964.561,-47.997,105.000
107946.955,49287.658,962.905,-96.964,110.000
112757.347,48680.628,961.252,-145.848,115.000
117559.482,47829.389,959.602,-194.647,120.000
122353.373,46734.363,957.954,-243.363,125.000
127139.034,45395.966,956.310,-291.995,130.000
131916.480,43814.617,954.668,-340.544,135.000
136685.724,41990.732,953.029,-389.010,140.000
141446.780,39924.729,951.393,-437.392,145.000
146199.663,37617.022,949.760,-485.691,150.000
150944.386,35068.027,948.129,-533.907,155.000
155680.965,32278.158,946.502,-582.041,160.000
160409.411,29247.829,944.877,-630.091,165.000
165129.741,25977.452,943.255,-678.060,170.000
169841.967,22467.439,941.636,-725.946,175.000
174546.103,18718.201,940.019,-773.749,180.000
179242.163,14730.151,938.405,-821.471,185.000
183930.162,10503.696,936.794,-869.111,190.000
188610.113,6039.247,935.186,-916.669,195.000
193282.029,1337.213,933.581,-964.145,200.000
