Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,100.000,100.000,0.000
100.000,95.095,100.000,90.190,1.000
200.000,180.380,100.000,80.380,2.000
300.000,255.855,100.000,70.570,3.000
400.000,321.520,100.000,60.760,4.000
500.000,377.375,100.000,50.950,5.000
600.000,423.420,100.000,41.140,6.000
700.000,459.655,100.000,31.330,7.000
800.000,486.080,100.000,21.520,8.000
900.000,502.695,100.000,11.710,9.000
1000.000,509.500,100.000,1.900,10.000
1100.000,506.495,100.000,-7.910,11.000
1200.000,493.680,100.000,-17.720,12.000
1300.000,471.055,100.000,-27.530,13.000
1400.000,438.620,100.000,-37.340,14.000
1500.000,396.375,100.000,-47.150,15.000
1600.000,344.320,100.000,-56.960,16.000
1700.000,282.455,100.000,-66.770,17.000
1800.000,210.780,100.000,-76.580,18.000
1900.000,129.295,100.000,-86.390,19.000
2000.000,38.000,100.000,-96.200,20.000
