Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,100.000,100.000,0.000
50.000,48.774,100.000,95.095,0.500
100.000,95.095,100.000,90.190,1.000
150.000,138.964,100.000,85.285,1.500
200.000,180.380,100.000,80.380,2.000
250.000,219.344,100.000,75.475,2.500
300.000,255.855,100.000,70.570,3.000
350.000,289.914,100.000,65.665,3.500
400.000,321.520,100.000,60.760,4.000
450.000,350.674,100.000,55.855,4.500
500.000,377.375,100.000,50.950,5.000
550.000,401.624,100.000,46.045,5.500
600.000,423.420,100.000,41.140,6.000
650.000,442.764,100.000,36.235,6.500
700.000,459.655,100.000,31.330,7.000
750.000,474.094,100.000,26.425,7.500
800.000,486.080,100.000,21.520,8.000
850.000,495.614,100.000,16.615,8.500
900.000,502.695,100.000,11.710,9.000
950.000,507.324,100.000,6.805,9.500
1000.000,509.500,100.000,1.900,10.000
1050.000,509.224,100.000,-3.005,10.500
1100.000,506.495,100.000,-7.910,11.000
1150.000,501.314,100.000,-12.815,11.500
1200.000,493.680,100.000,-17.720,12.000
1250.000,483.594,100.000,-22.625,12.500
1300.000,471.055,100.000,-27.530,13.000
1350.000,456.064,100.000,-32.435,13.500
1400.000,438.620,100.000,-37.340,14.000
1450.000,418.724,100.000,-42.245,14.500
1500.000,396.375,100.000,-47.150,15.000
1550.000,371.574,100.000,-52.055,15.500
1600.000,344.320,100.000,-56.960,16.000
1650.000,314.614,100.000,-61.865,16.500
1700.000,282.455,100.000,-66.770,17.000
1750.000,247.844,100.000,-71.675,17.500
1800.000,210.780,100.000,-76.580,18.000
1850.000,171.264,100.000,-81.485,18.500
1900.000,129.295,100.000,-86.390,19.000
1950.000,84.874,100.000,-91.295,19.500
2000.000,38.000,100.000,-96.200,20.000
