Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,1000.000,1000.000,0.000
4999.571,4876.946,999.828,950.778,5.000
9998.283,9507.804,999.657,901.565,10.000
14996.137,13892.618,999.485,852.360,15.000
19993.133,18031.428,999.313,803.164,20.000
24989.271,21924.278,999.142,753.976,25.000
29984.552,25571.209,998.970,704.797,30.000
34978.974,28972.265,998.799,655.626,35.000
39972.539,32127.486,998.627,606.463,40.000
44965.247,35036.916,998.456,557.309,45.000
49957.097,37700.596,998.284,508.163,50.000
54948.091,40118.569,998.113,459.026,55.000
59938.227,42290.876,997.942,409.897,60.000
64927.507,44217.561,997.770,360.777,65.000
69915.930,45898.665,997.599,311.665,70.000
74903.497,47334.230,997.428,262.561,75.000
79890.207,48524.299,997.256,213.466,80.000
84876.061,49468.913,997.085,164.380,85.000
89861.059,50168.115,996.914,115.301,90.000
94845.201,50621.947,996.743,66.232,95.000
99828.487,50830.452,996.572,17.170,100.000
104810.918,50793.670,996.401,-31.883,105.000
109792.493,50511.645,996.230,-80.927,110.000
114773.213,49984.418,996.058,-129.963,115.000
119753.078,49212.032,995.887,-178.991,120.000
124732.088,48194.528,995.716,-228.010,125.000
129710.243,46931.949,995.546,-277.021,130.000
134687.543,45424.337,995.375,-326.024,135.000
139663.989,43671.734,995.204,-375.018,140.000
144639.580,41674.181,995.033,-424.003,145.000
149614.317,39431.722,994.862,-472.980,150.000
154588.200,36944.397,994.691,-521.949,155.000
159561.229,34212.250,994.520,-570.910,160.000
164533.403,31235.322,994.350,-619.862,165.000
169504.725,28013.654,994.179,-668.805,170.000
174475.192,24547.290,994.008,-717.740,175.000
179444.807,20836.271,993.838,-766.667,180.000
184413.568,16880.640,993.667,-815.586,185.000
189381.476,12680.437,993.496,-864.495,190.000
194348.531,8235.706,993.326,-913.397,195.000
199314.733,3546.488,993.155,-962.290,200.000
