Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,2000.000,2000.000,0.000
19965.661,19475.161,1993.132,1895.032,10.000
39862.762,37902.447,1986.288,1790.425,20.000
59691.539,55285.455,1979.467,1686.177,30.000
79452.226,71627.772,1972.670,1582.287,40.000
99145.056,86932.971,1965.896,1478.753,50.000
118770.264,101204.613,1959.145,1375.575,60.000
138328.081,114446.249,1952.418,1272.752,70.000
157818.738,126661.414,1945.714,1170.281,80.000
177242.467,137853.633,1939.032,1068.163,90.000
196599.497,148026.420,1932.374,966.395,100.000
215890.056,157183.274,1925.738,864.976,110.000
235114.374,165327.685,1919.125,763.906,120.000
254272.678,172463.129,1912.535,663.183,130.000
273365.194,178593.070,1905.968,562.805,140.000
292392.149,183720.962,1899.423,462.773,150.000
311353.767,187850.245,1892.901,363.084,160.000
330250.273,190984.349,1886.401,263.737,170.000
349081.890,193126.690,1879.923,164.731,180.000
367848.842,194280.675,1873.467,66.066,190.000
386551.350,194449.697,1867.034,-32.261,200.000
405189.635,193637.139,1860.623,-130.250,210.000
423763.919,191846.371,1854.234,-227.903,220.000
442274.421,189080.753,1847.867,-325.221,230.000
460721.359,185343.631,1841.521,-422.204,240.000
479104.953,180638.342,1835.198,-518.854,250.000
497425.420,174968.211,1828.896,-615.172,260.000
515682.976,168336.550,1822.615,-711.160,270.000
533877.837,160746.661,1816.357,-806.818,280.000
552010.220,152201.836,1810.120,-902.147,290.000
570080.337,142705.352,1803.904,-997.149,300.000
588088.404,132260.479,1797.709,-1091.825,310.000
606034.633,120870.471,1791.536,-1186.176,320.000
623919.237,108538.576,1785.384,-1280.203,330.000
641742.427,95268.028,1779.254,-1373.907,340.000
659504.414,81062.049,1773.144,-1467.289,350.000
677205.408,65923.852,1767.055,-1560.350,360.000
694845.619,49856.637,1760.987,-1653.092,370.000
712425.256,32863.596,1754.940,-1745.516,380.000
729944.525,14947.907,1748.914,-1837.622,390.000
