Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,100.000,100.000,0.000
50.000,50.000,99.983,95.078,0.500
99.991,97.539,99.966,90.157,1.000
149.974,142.617,99.949,85.236,1.500
199.948,185.235,99.931,80.316,2.000
249.914,225.393,99.914,75.398,2.500
299.871,263.092,99.897,70.480,3.000
349.820,298.332,99.880,65.563,3.500
399.760,331.113,99.863,60.646,4.000
449.691,361.436,99.846,55.731,4.500
499.614,389.302,99.828,50.816,5.000
549.528,414.710,99.811,45.903,5.500
599.434,437.661,99.794,40.990,6.000
649.331,458.156,99.777,36.078,6.500
699.219,476.195,99.760,31.166,7.000
749.099,491.778,99.743,26.256,7.500
798.971,504.906,99.726,21.347,8.000
848.833,515.580,99.709,16.438,8.500
898.688,523.799,99.691,11.530,9.000
948.533,529.564,99.674,6.623,9.500
998.371,532.875,99.657,1.717,10.000
1048.199,533.734,99.640,-3.188,10.500
1098.019,532.140,99.623,-8.093,11.000
1147.831,528.093,99.606,-12.996,11.500
1197.634,521.595,99.589,-17.899,12.000
1247.428,512.646,99.572,-22.801,12.500
1297.214,501.245,99.555,-27.702,13.000
1346.991,487.394,99.537,-32.602,13.500
1396.760,471.093,99.520,-37.502,14.000
1446.520,452.342,99.503,-42.400,14.500
1496.272,431.142,99.486,-47.298,15.000
1546.015,407.493,99.469,-52.195,15.500
1595.749,381.395,99.452,-57.091,16.000
1645.475,352.850,99.435,-61.986,16.500
1695.193,321.857,99.418,-66.881,17.000
1744.902,288.416,99.401,-71.774,17.500
1794.602,252.529,99.384,-76.667,18.000
1844.294,214.196,99.367,-81.559,18.500
1893.977,173.417,99.350,-86.450,19.000
1943.652,130.192,99.333,-91.340,19.500
1993.318,84.522,99.316,-96.229,20.000
2042.976,36.408,99.298,-101.118,20.500
