Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,100.000,100.000,0.000
50.000,50.000,100.000,95.095,0.500
100.000,97.547,100.000,90.190,1.000
150.000,142.642,100.000,85.285,1.500
200.000,185.285,100.000,80.380,2.000
250.000,225.475,100.000,75.475,2.500
300.000,263.212,100.000,70.570,3.000
350.000,298.497,100.000,65.665,3.500
400.000,331.330,100.000,60.760,4.000
450.000,361.710,100.000,55.855,4.500
500.000,389.637,100.000,50.950,5.000
550.000,415.112,100.000,46.045,5.500
600.000,438.135,100.000,41.140,6.000
650.000,458.705,100.000,36.235,6.500
700.000,476.822,100.000,31.330,7.000
750.000,492.487,100.000,26.425,7.500
800.000,505.700,100.000,21.520,8.000
850.000,516.460,100.000,16.615,8.500
900.000,524.767,100.000,11.710,9.000
950.000,530.622,100.000,6.805,9.500
1000.000,534.025,100.000,1.900,10.000
1050.000,534.975,100.000,-3.005,10.500
1100.000,533.472,100.000,-7.910,11.000
1150.000,529.517,100.000,-12.815,11.500
1200.000,523.110,100.000,-17.720,12.000
1250.000,514.250,100.000,-22.625,12.500
1300.000,502.937,100.000,-27.530,13.000
1350.000,489.172,100.000,-32.435,13.500
1400.000,472.955,100.000,-37.340,14.000
1450.000,454.285,100.000,-42.245,14.500
1500.000,433.162,100.000,-47.150,15.000
1550.000,409.587,100.000,-52.055,15.500
1600.000,383.560,100.000,-56.960,16.000
1650.000,355.080,100.000,-61.865,16.500
1700.000,324.147,100.000,-66.770,17.000
1750.000,290.762,100.000,-71.675,17.500
1800.000,254.925,100.000,-76.580,18.000
1850.000,216.635,100.000,-81.485,18.500
1900.000,175.892,100.000,-86.390,19.000
1950.000,132.697,100.000,-91.295,19.500
2000.000,87.050,100.000,-96.200,20.000
2050.000,38.950,100.000,-101.105,20.500
