Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,100.000,100.000,0.000
100.000,100.000,99.966,90.156,1.000
199.966,190.156,99.931,80.315,2.000
299.897,270.470,99.897,70.477,3.000
399.794,340.947,99.863,60.643,4.000
499.657,401.590,99.828,50.812,5.000
599.485,452.403,99.794,40.985,6.000
699.279,493.387,99.760,31.161,7.000
799.039,524.548,99.726,21.340,8.000
898.765,545.888,99.691,11.523,9.000
998.456,557.410,99.657,1.709,10.000
1098.113,559.119,99.623,-8.102,11.000
1197.736,551.017,99.589,-17.909,12.000
1297.325,533.108,99.555,-27.713,13.000
1396.879,505.394,99.520,-37.514,14.000
1496.400,467.881,99.486,-47.311,15.000
1595.886,420.570,99.452,-57.104,16.000
1695.338,363.466,99.418,-66.895,17.000
1794.756,296.571,99.384,-76.682,18.000
1894.139,219.889,99.350,-86.466,19.000
1993.489,133.424,99.315,-96.246,20.000
2092.804,37.178,99.281,-106.023,21.000
