Ort_x, Ort_y, Ort_z, Zeit
0.000,0.000,0.000,0.000
100.000,100.000,100.000,1.000
200.000,200.000,190.190,2.000
300.000,300.000,270.570,3.000
400.000,400.000,341.140,4.000
500.000,500.000,401.900,5.000
600.000,600.000,452.850,6.000
700.000,700.000,493.990,7.000
800.000,800.000,525.320,8.000
900.000,900.000,546.840,9.000
1000.000,1000.000,558.550,10.000
1100.000,1100.000,560.450,11.000
1200.000,1200.000,552.540,12.000
1300.000,1300.000,534.820,13.000
1400.000,1400.000,507.290,14.000
1500.000,1500.000,469.950,15.000
1600.000,1600.000,422.800,16.000
1700.000,1700.000,365.840,17.000
1800.000,1800.000,299.070,18.000
1900.000,1900.000,222.490,19.000
2000.000,2000.000,136.100,20.000
2100.000,2100.000,39.900,21.000
