Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,1000.000,1000.000,0.000
500.000,500.000,999.828,994.923,0.500
999.914,997.462,999.657,989.847,1.000
1499.742,1492.385,999.485,984.773,1.500
1999.485,1984.772,999.313,979.698,2.000
2499.142,2474.621,999.142,974.625,2.500
2998.713,2961.934,998.970,969.553,3.000
3498.198,3446.710,998.799,964.481,3.500
3997.597,3928.951,998.627,959.411,4.000
4496.911,4408.656,998.456,954.341,4.500
4996.139,4885.827,998.284,949.272,5.000
5495.281,5360.463,998.113,944.204,5.500
5994.337,5832.565,997.942,939.137,6.000
6493.308,6302.134,997.770,934.071,6.500
6992.193,6769.169,997.599,929.006,7.000
7490.993,7233.672,997.428,923.941,7.500
7989.707,7695.642,997.256,918.877,8.000
8488.335,8155.081,997.085,913.815,8.500
8986.877,8611.988,996.914,908.753,9.000
9485.334,9066.365,996.743,903.692,9.500
9983.706,9518.210,996.572,898.632,10.000
10481.992,9967.526,996.401,893.572,10.500
10980.192,10414.312,996.230,888.514,11.000
11478.307,10858.569,996.058,883.456,11.500
11976.336,11300.297,995.887,878.400,12.000
12474.280,11739.497,995.716,873.344,12.500
12972.138,12176.169,995.546,868.289,13.000
13469.911,12610.314,995.375,863.235,13.500
13967.598,13041.931,995.204,858.182,14.000
14465.200,13471.022,995.033,853.129,14.500
14962.716,13897.586,994.862,848.078,15.000
15460.147,14321.625,994.691,843.027,15.500
15957.493,14743.139,994.520,837.977,16.000
16454.753,15162.127,994.350,832.928,16.500
16951.928,15578.592,994.179,827.880,17.000
17449.017,15992.532,994.008,822.833,17.500
17946.021,16403.949,993.838,817.787,18.000
18442.940,16812.842,993.667,812.742,18.500
18939.774,17219.213,993.496,807.697,19.000
19436.522,17623.061,993.326,802.653,19.500
19933.185,18024.388,993.155,797.611,20.000
20429.762,18423.193,992.985,792.569,20.500
20926.254,18819.478,992.814,787.528,21.000
21422.661,19213.242,992.644,782.487,21.500
21918.983,19604.485,992.473,777.448,22.000
22415.220,19993.209,992.303,772.410,22.500
22911.371,20379.414,992.132,767.372,23.000
23407.438,20763.100,991.962,762.335,23.500
23903.419,21144.268,991.792,757.299,24.000
24399.315,21522.917,991.622,752.264,24.500
24895.125,21899.049,991.451,747.230,25.000
25390.851,22272.664,991.281,742.197,25.500
25886.492,22643.763,991.111,737.164,26.000
26382.047,23012.345,990.941,732.133,26.500
26877.517,23378.411,990.771,727.102,27.000
27372.903,23741.963,990.600,722.072,27.500
27868.203,24102.999,990.430,717.043,28.000
28363.418,24461.520,990.260,712.015,28.500
28858.548,24817.528,990.090,706.988,29.000
29353.593,25171.022,989.920,701.962,29.500
29848.553,25522.003,989.750,696.936,30.000
30343.429,25870.471,989.580,691.911,30.500
30838.219,26216.426,989.410,686.888,31.000
31332.924,26559.870,989.241,681.865,31.500
31827.544,26900.802,989.071,676.843,32.000
32322.080,27239.224,988.901,671.821,32.500
32816.530,27575.134,988.731,666.801,33.000
33310.896,27908.535,988.561,661.782,33.500
33805.176,28239.426,988.392,656.763,34.000
34299.372,28567.807,988.222,651.745,34.500
34793.483,28893.680,988.052,646.728,35.000
35287.509,29217.044,987.883,641.712,35.500
35781.451,29537.900,987.713,636.697,36.000
36275.307,29856.248,987.543,631.683,36.500
36769.079,30172.090,987.374,626.669,37.000
37262.766,30485.424,987.204,621.657,37.500
37756.368,30796.253,987.035,616.645,38.000
38249.886,31104.575,986.865,611.634,38.500
38743.318,31410.392,986.696,606.624,39.000
39236.666,31713.704,986.527,601.615,39.500
39729.930,32014.512,986.357,596.607,40.000
40223.108,32312.815,986.188,591.599,40.500
40716.202,32608.614,986.018,586.593,41.000
41209.211,32901.911,985.849,581.587,41.500
41702.136,33192.704,985.680,576.582,42.000
42194.976,33480.995,985.511,571.578,42.500
42687.731,33766.784,985.341,566.575,43.000
43180.402,34050.071,985.172,561.573,43.500
43672.988,34330.858,985.003,556.571,44.000
44165.490,34609.143,984.834,551.571,44.500
44657.907,34884.929,984.665,546.571,45.000
45150.239,35158.214,984.496,541.572,45.500
45642.487,35429.000,984.327,536.574,46.000
46134.651,35697.287,984.158,531.577,46.500
46626.730,35963.076,983.989,526.581,47.000
47118.724,36226.366,983.820,521.585,47.500
47610.634,36487.159,983.651,516.591,48.000
48102.459,36745.454,983.482,511.597,48.500
48594.201,37001.252,983.313,506.604,49.000
49085.857,37254.555,983.144,501.612,49.500
49577.429,37505.361,982.976,496.621,50.000
50068.917,37753.671,982.807,491.631,50.500
50560.321,37999.487,982.638,486.641,51.000
51051.640,38242.807,982.469,481.653,51.500
51542.874,38483.634,982.301,476.665,52.000
52034.025,38721.966,982.132,471.678,52.500
52525.091,38957.805,981.963,466.692,53.000
53016.073,39191.152,981.795,461.707,53.500
53506.970,39422.005,981.626,456.723,54.000
53997.783,39650.367,981.458,451.739,54.500
54488.512,39876.236,981.289,446.757,55.000
54979.157,40099.615,981.121,441.775,55.500
55469.717,40320.502,980.952,436.794,56.000
55960.193,40538.900,980.784,431.814,56.500
56450.585,40754.807,980.615,426.835,57.000
56940.893,40968.224,980.447,421.857,57.500
57431.116,41179.153,980.279,416.880,58.000
57921.256,41387.593,980.110,411.903,58.500
58411.311,41593.544,979.942,406.927,59.000
58901.282,41797.008,979.774,401.952,59.500
59391.169,41997.984,979.606,396.978,60.000
59880.972,42196.473,979.438,392.005,60.500
60370.691,42392.476,979.269,387.033,61.000
60860.325,42585.992,979.101,382.061,61.500
61349.876,42777.023,978.933,377.091,62.000
61839.343,42965.568,978.765,372.121,62.500
