Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,1000.000,1000.000,0.000
5000.000,5000.000,1000.000,950.950,5.000
10000.000,9754.750,1000.000,901.900,10.000
15000.000,14264.250,1000.000,852.850,15.000
20000.000,18528.500,1000.000,803.800,20.000
25000.000,22547.500,1000.000,754.750,25.000
30000.000,26321.250,1000.000,705.700,30.000
35000.000,29849.750,1000.000,656.650,35.000
40000.000,33133.000,1000.000,607.600,40.000
45000.000,36171.000,1000.000,558.550,45.000
50000.000,38963.750,1000.000,509.500,50.000
55000.000,41511.250,1000.000,460.450,55.000
60000.000,43813.500,1000.000,411.400,60.000
65000.000,45870.500,1000.000,362.350,65.000
70000.000,47682.250,1000.000,313.300,70.000
75000.000,49248.750,1000.000,264.250,75.000
80000.000,50570.000,1000.000,215.200,80.000
85000.000,51646.000,1000.000,166.150,85.000
90000.000,52476.750,1000.000,117.100,90.000
95000.000,53062.250,1000.000,68.050,95.000
100000.000,53402.500,1000.000,19.000,100.000
105000.000,53497.500,1000.000,-30.050,105.000
110000.000,53347.250,1000.000,-79.100,110.000
115000.000,52951.750,1000.000,-128.150,115.000
120000.000,52311.000,1000.000,-177.200,120.000
125000.000,51425.000,1000.000,-226.250,125.000
130000.000,50293.750,1000.000,-275.300,130.000
135000.000,48917.250,1000.000,-324.350,135.000
140000.000,47295.500,1000.000,-373.400,140.000
145000.000,45428.500,1000.000,-422.450,145.000
150000.000,43316.250,1000.000,-471.500,150.000
155000.000,40958.750,1000.000,-520.550,155.000
160000.000,38356.000,1000.000,-569.600,160.000
165000.000,35508.000,1000.000,-618.650,165.000
170000.000,32414.750,1000.000,-667.700,170.000
175000.000,29076.250,1000.000,-716.750,175.000
180000.000,25492.500,1000.000,-765.800,180.000
185000.000,21663.500,1000.000,-814.850,185.000
190000.000,17589.250,1000.000,-863.900,190.000
195000.000,13269.750,1000.000,-912.950,195.000
200000.000,8705.000,1000.000,-962.000,200.000
205000.000,3895.000,1000.000,-1011.050,205.000
