Ort_x, Ort_y, Geschw_x, Geschw_y, Zeit
0.000,0.000,100.000,100.000,0.000
80.000,80.000,100.000,92.152,0.800
160.000,153.722,100.000,84.304,1.600
240.000,221.165,100.000,76.456,2.400
320.000,282.330,100.000,68.608,3.200
400.000,337.216,100.000,60.760,4.000
480.000,385.824,100.000,52.912,4.800
560.000,428.154,100.000,45.064,5.600
640.000,464.205,100.000,37.216,6.400
720.000,493.978,100.000,29.368,7.200
800.000,517.472,100.000,21.520,8.000
880.000,534.688,100.000,13.672,8.800
960.000,545.626,100.000,5.824,9.600
1040.000,550.285,100.000,-2.024,10.400
1120.000,548.666,100.000,-9.872,11.200
1200.000,540.768,100.000,-17.720,12.000
1280.000,526.592,100.000,-25.568,12.800
1360.000,506.138,100.000,-33.416,13.600
1440.000,479.405,100.000,-41.264,14.400
1520.000,446.394,100.000,-49.112,15.200
1600.000,407.104,100.000,-56.960,16.000
1680.000,361.536,100.000,-64.808,16.800
1760.000,309.690,100.000,-72.656,17.600
1840.000,251.565,100.000,-80.504,18.400
1920.000,187.162,100.000,-88.352,19.200
2000.000,116.480,100.000,-96.200,20.000
2080.000,39.520,100.000,-104.048,20.800
